Filename,Result,Elapsed_time_ms,Config
uf150-0100.cnf,SAT,11332.6466,minisat-classic
uf150-010.cnf,SAT,1546.3536,minisat-classic
uf150-011.cnf,SAT,67.2481,minisat-classic
uf150-012.cnf,SAT,5179.6254,minisat-classic
uf150-013.cnf,SAT,38.2900,minisat-classic
uf150-014.cnf,SAT,10392.9160,minisat-classic
uf150-015.cnf,SAT,4242.7733,minisat-classic
uf150-016.cnf,SAT,2.8397,minisat-classic
uf150-017.cnf,SAT,151.1516,minisat-classic
uf150-018.cnf,SAT,3985.8828,minisat-classic
uf150-019.cnf,SAT,462.0331,minisat-classic
uf150-01.cnf,SAT,2516.9696,minisat-classic
uf150-020.cnf,SAT,312.0956,minisat-classic
uf150-021.cnf,SAT,1061.8804,minisat-classic
uf150-022.cnf,SAT,1131.1089,minisat-classic
uf150-023.cnf,SAT,110.1409,minisat-classic
uf150-024.cnf,SAT,1010.4841,minisat-classic
uf150-025.cnf,SAT,1725.5020,minisat-classic
uf150-026.cnf,SAT,2841.1849,minisat-classic
uf150-027.cnf,SAT,39.1713,minisat-classic
uf150-028.cnf,SAT,948.8501,minisat-classic
uf150-029.cnf,SAT,129.8561,minisat-classic
uf150-02.cnf,SAT,2236.5488,minisat-classic
uf150-030.cnf,SAT,736.9599,minisat-classic
uf150-031.cnf,SAT,936.1564,minisat-classic
uf150-032.cnf,SAT,8127.8717,minisat-classic
uf150-033.cnf,SAT,8141.9874,minisat-classic
uf150-034.cnf,SAT,1022.4538,minisat-classic
uf150-035.cnf,SAT,1987.6155,minisat-classic
uf150-036.cnf,SAT,11051.1093,minisat-classic
uf150-037.cnf,SAT,340.6543,minisat-classic
uf150-038.cnf,SAT,15584.4464,minisat-classic
uf150-039.cnf,SAT,6864.6311,minisat-classic
uf150-03.cnf,SAT,32597.8021,minisat-classic
uf150-040.cnf,SAT,3727.8024,minisat-classic
uf150-041.cnf,SAT,25.3316,minisat-classic
uf150-042.cnf,SAT,33.5053,minisat-classic
uf150-043.cnf,SAT,24690.1475,minisat-classic
uf150-044.cnf,SAT,3.9086,minisat-classic
uf150-045.cnf,SAT,6783.9368,minisat-classic
uf150-046.cnf,SAT,5700.9029,minisat-classic
uf150-047.cnf,SAT,1079.6643,minisat-classic
uf150-048.cnf,SAT,318.8081,minisat-classic
uf150-049.cnf,SAT,1095.9004,minisat-classic
uf150-04.cnf,SAT,976.4959,minisat-classic
uf150-050.cnf,SAT,19.3685,minisat-classic
uf150-051.cnf,SAT,3434.8319,minisat-classic
uf150-052.cnf,SAT,24.2984,minisat-classic
uf150-053.cnf,SAT,1402.3318,minisat-classic
uf150-054.cnf,SAT,6787.5700,minisat-classic
uf150-055.cnf,SAT,149.0340,minisat-classic
uf150-056.cnf,SAT,515.8596,minisat-classic
uf150-057.cnf,SAT,1330.1435,minisat-classic
uf150-058.cnf,SAT,1889.0656,minisat-classic
uf150-059.cnf,SAT,215.8747,minisat-classic
uf150-05.cnf,SAT,1015.6591,minisat-classic
uf150-060.cnf,SAT,32.7002,minisat-classic
uf150-061.cnf,SAT,6036.7281,minisat-classic
uf150-062.cnf,SAT,879.1068,minisat-classic
uf150-063.cnf,SAT,10275.3856,minisat-classic
uf150-064.cnf,SAT,660.4330,minisat-classic
uf150-065.cnf,SAT,1929.0891,minisat-classic
uf150-066.cnf,SAT,4066.7454,minisat-classic
uf150-067.cnf,SAT,39.8011,minisat-classic
uf150-068.cnf,SAT,9327.3569,minisat-classic
uf150-069.cnf,SAT,1641.0407,minisat-classic
uf150-06.cnf,SAT,197.3503,minisat-classic
uf150-070.cnf,SAT,1735.7011,minisat-classic
uf150-071.cnf,SAT,65.4764,minisat-classic
uf150-072.cnf,SAT,1591.5010,minisat-classic
uf150-073.cnf,SAT,855.1920,minisat-classic
uf150-074.cnf,SAT,30.0105,minisat-classic
uf150-075.cnf,SAT,28.0246,minisat-classic
uf150-076.cnf,SAT,5790.0962,minisat-classic
uf150-077.cnf,SAT,12384.8187,minisat-classic
uf150-078.cnf,SAT,15916.9709,minisat-classic
uf150-079.cnf,SAT,36783.8523,minisat-classic
uf150-07.cnf,SAT,324.9321,minisat-classic
uf150-080.cnf,SAT,2345.8468,minisat-classic
uf150-081.cnf,SAT,11597.0958,minisat-classic
uf150-082.cnf,SAT,5.4547,minisat-classic
uf150-083.cnf,SAT,6764.5909,minisat-classic
uf150-084.cnf,SAT,708.2265,minisat-classic
uf150-085.cnf,SAT,1391.5601,minisat-classic
uf150-086.cnf,SAT,4434.7993,minisat-classic
uf150-087.cnf,SAT,131.6414,minisat-classic
uf150-088.cnf,SAT,564.2203,minisat-classic
uf150-089.cnf,SAT,4434.3530,minisat-classic
uf150-08.cnf,SAT,273.3349,minisat-classic
uf150-090.cnf,SAT,3347.2539,minisat-classic
uf150-091.cnf,SAT,12775.7994,minisat-classic
uf150-092.cnf,SAT,599.7535,minisat-classic
uf150-093.cnf,SAT,1149.8704,minisat-classic
uf150-094.cnf,SAT,1120.4944,minisat-classic
uf150-095.cnf,SAT,1580.0845,minisat-classic
uf150-096.cnf,SAT,1703.2144,minisat-classic
uf150-097.cnf,SAT,21340.6501,minisat-classic
uf150-098.cnf,SAT,4564.1249,minisat-classic
uf150-099.cnf,SAT,1843.4993,minisat-classic
uf150-09.cnf,SAT,503.5955,minisat-classic
