Filename,Result,Elapsed_time_ms,Config
uf50-0100.cnf,SAT,7.1547,minisat-classic
uf50-010.cnf,SAT,2.2791,minisat-classic
uf50-011.cnf,SAT,10.3400,minisat-classic
uf50-012.cnf,SAT,4.7844,minisat-classic
uf50-013.cnf,SAT,0.2954,minisat-classic
uf50-014.cnf,SAT,4.2646,minisat-classic
uf50-015.cnf,SAT,0.5504,minisat-classic
uf50-016.cnf,SAT,4.1084,minisat-classic
uf50-017.cnf,SAT,6.3058,minisat-classic
uf50-018.cnf,SAT,0.2923,minisat-classic
uf50-019.cnf,SAT,6.8141,minisat-classic
uf50-01.cnf,SAT,2.6448,minisat-classic
uf50-020.cnf,SAT,0.3030,minisat-classic
uf50-021.cnf,SAT,0.6406,minisat-classic
uf50-022.cnf,SAT,0.5348,minisat-classic
uf50-023.cnf,SAT,0.2698,minisat-classic
uf50-024.cnf,SAT,1.7585,minisat-classic
uf50-025.cnf,SAT,0.7000,minisat-classic
uf50-026.cnf,SAT,2.1386,minisat-classic
uf50-027.cnf,SAT,0.3041,minisat-classic
uf50-028.cnf,SAT,6.1710,minisat-classic
uf50-029.cnf,SAT,0.2981,minisat-classic
uf50-02.cnf,SAT,2.6161,minisat-classic
uf50-030.cnf,SAT,0.3304,minisat-classic
uf50-031.cnf,SAT,0.2977,minisat-classic
uf50-032.cnf,SAT,0.3380,minisat-classic
uf50-033.cnf,SAT,0.3035,minisat-classic
uf50-034.cnf,SAT,0.5396,minisat-classic
uf50-035.cnf,SAT,2.8295,minisat-classic
uf50-036.cnf,SAT,3.4920,minisat-classic
uf50-037.cnf,SAT,6.9486,minisat-classic
uf50-038.cnf,SAT,0.6407,minisat-classic
uf50-039.cnf,SAT,0.3800,minisat-classic
uf50-03.cnf,SAT,5.9520,minisat-classic
uf50-040.cnf,SAT,1.8048,minisat-classic
uf50-041.cnf,SAT,4.0498,minisat-classic
uf50-042.cnf,SAT,2.5046,minisat-classic
uf50-043.cnf,SAT,0.3166,minisat-classic
uf50-044.cnf,SAT,2.6200,minisat-classic
uf50-045.cnf,SAT,0.3106,minisat-classic
uf50-046.cnf,SAT,2.4584,minisat-classic
uf50-047.cnf,SAT,0.8636,minisat-classic
uf50-048.cnf,SAT,2.4580,minisat-classic
uf50-049.cnf,SAT,4.9024,minisat-classic
uf50-04.cnf,SAT,0.5364,minisat-classic
uf50-050.cnf,SAT,5.6352,minisat-classic
uf50-051.cnf,SAT,0.3304,minisat-classic
uf50-052.cnf,SAT,0.5939,minisat-classic
uf50-053.cnf,SAT,11.8425,minisat-classic
uf50-054.cnf,SAT,1.3684,minisat-classic
uf50-055.cnf,SAT,3.6936,minisat-classic
uf50-056.cnf,SAT,0.4555,minisat-classic
uf50-057.cnf,SAT,0.4963,minisat-classic
uf50-058.cnf,SAT,1.0898,minisat-classic
uf50-059.cnf,SAT,2.2110,minisat-classic
uf50-05.cnf,SAT,0.3084,minisat-classic
uf50-060.cnf,SAT,5.7677,minisat-classic
uf50-061.cnf,SAT,4.6296,minisat-classic
uf50-062.cnf,SAT,1.9874,minisat-classic
uf50-063.cnf,SAT,1.3014,minisat-classic
uf50-064.cnf,SAT,5.2741,minisat-classic
uf50-065.cnf,SAT,2.4013,minisat-classic
uf50-066.cnf,SAT,6.9425,minisat-classic
uf50-067.cnf,SAT,5.0010,minisat-classic
uf50-068.cnf,SAT,0.3335,minisat-classic
uf50-069.cnf,SAT,11.0776,minisat-classic
uf50-06.cnf,SAT,7.8413,minisat-classic
uf50-070.cnf,SAT,0.6508,minisat-classic
uf50-071.cnf,SAT,0.3459,minisat-classic
uf50-072.cnf,SAT,0.7712,minisat-classic
uf50-073.cnf,SAT,0.8859,minisat-classic
uf50-074.cnf,SAT,7.7929,minisat-classic
uf50-075.cnf,SAT,0.2841,minisat-classic
uf50-076.cnf,SAT,1.1476,minisat-classic
uf50-077.cnf,SAT,3.8947,minisat-classic
uf50-078.cnf,SAT,5.3236,minisat-classic
uf50-079.cnf,SAT,0.5150,minisat-classic
uf50-07.cnf,SAT,3.4835,minisat-classic
uf50-080.cnf,SAT,0.9412,minisat-classic
uf50-081.cnf,SAT,2.2044,minisat-classic
uf50-082.cnf,SAT,0.5444,minisat-classic
uf50-083.cnf,SAT,6.6490,minisat-classic
uf50-084.cnf,SAT,4.4797,minisat-classic
uf50-085.cnf,SAT,0.3048,minisat-classic
uf50-086.cnf,SAT,7.4747,minisat-classic
uf50-087.cnf,SAT,3.6542,minisat-classic
uf50-088.cnf,SAT,2.1556,minisat-classic
uf50-089.cnf,SAT,2.5855,minisat-classic
uf50-08.cnf,SAT,0.2588,minisat-classic
uf50-090.cnf,SAT,0.5633,minisat-classic
uf50-091.cnf,SAT,0.3953,minisat-classic
uf50-092.cnf,SAT,0.9323,minisat-classic
uf50-093.cnf,SAT,3.5684,minisat-classic
uf50-094.cnf,SAT,0.3042,minisat-classic
uf50-095.cnf,SAT,3.7281,minisat-classic
uf50-096.cnf,SAT,3.0432,minisat-classic
uf50-097.cnf,SAT,2.7346,minisat-classic
uf50-098.cnf,SAT,0.9436,minisat-classic
uf50-099.cnf,SAT,1.1027,minisat-classic
uf50-09.cnf,SAT,0.4808,minisat-classic
