Filename,Result,Elapsed_time_ms,Config
uuf150-0100.cnf,UNSAT,28546.3147,minisat-classic
uuf150-010.cnf,UNSAT,28945.3840,minisat-classic
uuf150-011.cnf,UNSAT,22473.1201,minisat-classic
uuf150-012.cnf,UNSAT,27521.5752,minisat-classic
uuf150-013.cnf,UNSAT,14542.4706,minisat-classic
uuf150-014.cnf,UNSAT,22972.1323,minisat-classic
uuf150-015.cnf,UNSAT,30710.4843,minisat-classic
uuf150-016.cnf,UNSAT,11820.3570,minisat-classic
uuf150-017.cnf,UNSAT,11672.5529,minisat-classic
uuf150-018.cnf,UNSAT,51750.3302,minisat-classic
uuf150-019.cnf,UNSAT,9623.0611,minisat-classic
uuf150-01.cnf,UNSAT,31159.4405,minisat-classic
uuf150-020.cnf,UNSAT,22825.7419,minisat-classic
uuf150-021.cnf,UNSAT,18328.9675,minisat-classic
uuf150-022.cnf,UNSAT,36653.7640,minisat-classic
uuf150-023.cnf,UNSAT,26279.0640,minisat-classic
uuf150-024.cnf,UNSAT,18986.0125,minisat-classic
uuf150-025.cnf,UNSAT,27407.9578,minisat-classic
uuf150-026.cnf,UNSAT,18710.4480,minisat-classic
uuf150-027.cnf,UNSAT,13137.2897,minisat-classic
uuf150-028.cnf,UNSAT,31011.0962,minisat-classic
uuf150-029.cnf,UNSAT,19364.8395,minisat-classic
uuf150-02.cnf,UNSAT,26895.8369,minisat-classic
uuf150-030.cnf,UNSAT,20971.9033,minisat-classic
uuf150-031.cnf,UNSAT,9130.5735,minisat-classic
uuf150-032.cnf,UNSAT,26735.8364,minisat-classic
uuf150-033.cnf,UNSAT,11123.4831,minisat-classic
uuf150-034.cnf,UNSAT,20956.2121,minisat-classic
uuf150-035.cnf,UNSAT,23302.5696,minisat-classic
uuf150-036.cnf,UNSAT,10470.8207,minisat-classic
uuf150-037.cnf,UNSAT,18678.9011,minisat-classic
uuf150-038.cnf,UNSAT,36260.6497,minisat-classic
uuf150-039.cnf,UNSAT,17012.3407,minisat-classic
uuf150-03.cnf,UNSAT,20801.5193,minisat-classic
uuf150-040.cnf,UNSAT,24052.2412,minisat-classic
uuf150-041.cnf,UNSAT,27419.4177,minisat-classic
uuf150-042.cnf,UNSAT,29684.9418,minisat-classic
uuf150-043.cnf,UNSAT,9425.8537,minisat-classic
uuf150-044.cnf,UNSAT,41799.7035,minisat-classic
uuf150-045.cnf,UNSAT,16175.6145,minisat-classic
uuf150-046.cnf,UNSAT,35716.4956,minisat-classic
uuf150-047.cnf,UNSAT,15175.5959,minisat-classic
uuf150-048.cnf,UNSAT,18669.9225,minisat-classic
uuf150-049.cnf,UNSAT,9323.5466,minisat-classic
uuf150-04.cnf,UNSAT,16963.8995,minisat-classic
uuf150-050.cnf,UNSAT,28911.7104,minisat-classic
uuf150-051.cnf,UNSAT,20990.9049,minisat-classic
uuf150-052.cnf,UNSAT,11110.4577,minisat-classic
uuf150-053.cnf,UNSAT,10622.8993,minisat-classic
uuf150-054.cnf,UNSAT,9676.1633,minisat-classic
uuf150-055.cnf,UNSAT,72983.9223,minisat-classic
uuf150-056.cnf,UNSAT,9792.8817,minisat-classic
uuf150-057.cnf,UNSAT,38319.7681,minisat-classic
uuf150-058.cnf,UNSAT,13661.1343,minisat-classic
uuf150-059.cnf,UNSAT,16497.0427,minisat-classic
uuf150-05.cnf,UNSAT,15108.4890,minisat-classic
uuf150-060.cnf,UNSAT,21683.9630,minisat-classic
uuf150-061.cnf,UNSAT,17924.5877,minisat-classic
uuf150-062.cnf,UNSAT,21118.9655,minisat-classic
uuf150-063.cnf,UNSAT,53141.1624,minisat-classic
uuf150-064.cnf,UNSAT,36417.8576,minisat-classic
uuf150-065.cnf,UNSAT,50242.1717,minisat-classic
uuf150-066.cnf,UNSAT,13538.1690,minisat-classic
uuf150-067.cnf,UNSAT,18007.6313,minisat-classic
