Filename,Result,Elapsed_time_ms,Config
uuf50-0100.cnf,UNSAT,9.5322,minisat-classic
uuf50-010.cnf,UNSAT,6.5316,minisat-classic
uuf50-011.cnf,UNSAT,9.8452,minisat-classic
uuf50-012.cnf,UNSAT,15.5681,minisat-classic
uuf50-013.cnf,UNSAT,15.6508,minisat-classic
uuf50-014.cnf,UNSAT,7.3636,minisat-classic
uuf50-015.cnf,UNSAT,14.1744,minisat-classic
uuf50-016.cnf,UNSAT,10.9229,minisat-classic
uuf50-017.cnf,UNSAT,8.8767,minisat-classic
uuf50-018.cnf,UNSAT,7.6236,minisat-classic
uuf50-019.cnf,UNSAT,12.3879,minisat-classic
uuf50-01.cnf,UNSAT,10.2626,minisat-classic
uuf50-020.cnf,UNSAT,11.1665,minisat-classic
uuf50-021.cnf,UNSAT,12.9829,minisat-classic
uuf50-022.cnf,UNSAT,27.0507,minisat-classic
uuf50-023.cnf,UNSAT,22.1673,minisat-classic
uuf50-024.cnf,UNSAT,19.5010,minisat-classic
uuf50-025.cnf,UNSAT,13.7276,minisat-classic
uuf50-026.cnf,UNSAT,15.9013,minisat-classic
uuf50-027.cnf,UNSAT,17.4112,minisat-classic
uuf50-028.cnf,UNSAT,13.6649,minisat-classic
uuf50-029.cnf,UNSAT,13.7979,minisat-classic
uuf50-02.cnf,UNSAT,9.4176,minisat-classic
uuf50-030.cnf,UNSAT,15.1907,minisat-classic
uuf50-031.cnf,UNSAT,13.2962,minisat-classic
uuf50-032.cnf,UNSAT,8.4165,minisat-classic
uuf50-033.cnf,UNSAT,10.1208,minisat-classic
uuf50-034.cnf,UNSAT,13.4807,minisat-classic
uuf50-035.cnf,UNSAT,22.3389,minisat-classic
uuf50-036.cnf,UNSAT,6.5976,minisat-classic
uuf50-037.cnf,UNSAT,18.1800,minisat-classic
uuf50-038.cnf,UNSAT,5.2307,minisat-classic
uuf50-039.cnf,UNSAT,10.4830,minisat-classic
uuf50-03.cnf,UNSAT,9.0180,minisat-classic
uuf50-040.cnf,UNSAT,11.9995,minisat-classic
uuf50-041.cnf,UNSAT,21.8512,minisat-classic
uuf50-042.cnf,UNSAT,21.6916,minisat-classic
uuf50-043.cnf,UNSAT,11.1095,minisat-classic
uuf50-044.cnf,UNSAT,19.3739,minisat-classic
uuf50-045.cnf,UNSAT,12.5683,minisat-classic
uuf50-046.cnf,UNSAT,10.4886,minisat-classic
uuf50-047.cnf,UNSAT,22.2708,minisat-classic
uuf50-048.cnf,UNSAT,11.7196,minisat-classic
uuf50-049.cnf,UNSAT,11.0847,minisat-classic
uuf50-04.cnf,UNSAT,13.7991,minisat-classic
uuf50-050.cnf,UNSAT,14.9190,minisat-classic
uuf50-051.cnf,UNSAT,13.1184,minisat-classic
uuf50-052.cnf,UNSAT,8.1499,minisat-classic
uuf50-053.cnf,UNSAT,13.0697,minisat-classic
uuf50-054.cnf,UNSAT,17.4523,minisat-classic
uuf50-055.cnf,UNSAT,12.6055,minisat-classic
uuf50-056.cnf,UNSAT,17.9286,minisat-classic
uuf50-057.cnf,UNSAT,14.9407,minisat-classic
uuf50-058.cnf,UNSAT,9.1007,minisat-classic
uuf50-059.cnf,UNSAT,23.0657,minisat-classic
uuf50-05.cnf,UNSAT,10.8663,minisat-classic
uuf50-060.cnf,UNSAT,14.5082,minisat-classic
uuf50-061.cnf,UNSAT,20.4068,minisat-classic
uuf50-062.cnf,UNSAT,7.0213,minisat-classic
uuf50-063.cnf,UNSAT,10.2218,minisat-classic
uuf50-064.cnf,UNSAT,13.6595,minisat-classic
uuf50-065.cnf,UNSAT,16.2705,minisat-classic
uuf50-066.cnf,UNSAT,12.6684,minisat-classic
uuf50-067.cnf,UNSAT,13.6719,minisat-classic
uuf50-068.cnf,UNSAT,20.5834,minisat-classic
uuf50-069.cnf,UNSAT,13.7824,minisat-classic
uuf50-06.cnf,UNSAT,9.8055,minisat-classic
uuf50-070.cnf,UNSAT,18.4802,minisat-classic
uuf50-071.cnf,UNSAT,6.3823,minisat-classic
uuf50-072.cnf,UNSAT,13.8098,minisat-classic
uuf50-073.cnf,UNSAT,11.0201,minisat-classic
uuf50-074.cnf,UNSAT,9.5246,minisat-classic
uuf50-075.cnf,UNSAT,8.4879,minisat-classic
uuf50-076.cnf,UNSAT,9.9386,minisat-classic
uuf50-077.cnf,UNSAT,14.8195,minisat-classic
uuf50-078.cnf,UNSAT,13.0533,minisat-classic
uuf50-079.cnf,UNSAT,9.0675,minisat-classic
uuf50-07.cnf,UNSAT,10.5944,minisat-classic
uuf50-080.cnf,UNSAT,8.1645,minisat-classic
uuf50-081.cnf,UNSAT,10.7652,minisat-classic
uuf50-082.cnf,UNSAT,9.2206,minisat-classic
uuf50-083.cnf,UNSAT,17.8494,minisat-classic
uuf50-084.cnf,UNSAT,9.8182,minisat-classic
uuf50-085.cnf,UNSAT,11.6536,minisat-classic
uuf50-086.cnf,UNSAT,19.9915,minisat-classic
uuf50-087.cnf,UNSAT,13.2897,minisat-classic
uuf50-088.cnf,UNSAT,5.7525,minisat-classic
uuf50-089.cnf,UNSAT,9.7422,minisat-classic
uuf50-08.cnf,UNSAT,15.2951,minisat-classic
uuf50-090.cnf,UNSAT,10.0589,minisat-classic
uuf50-091.cnf,UNSAT,6.2253,minisat-classic
uuf50-092.cnf,UNSAT,23.1904,minisat-classic
uuf50-093.cnf,UNSAT,9.8101,minisat-classic
uuf50-094.cnf,UNSAT,18.8214,minisat-classic
uuf50-095.cnf,UNSAT,10.0955,minisat-classic
uuf50-096.cnf,UNSAT,12.1721,minisat-classic
uuf50-097.cnf,UNSAT,16.8903,minisat-classic
uuf50-098.cnf,UNSAT,13.6105,minisat-classic
uuf50-099.cnf,UNSAT,19.9011,minisat-classic
uuf50-09.cnf,UNSAT,8.9137,minisat-classic
